,year,latitude,longitude,precipitation_winter,precipitation_summer,precipitation_annual,volwater_winter,volwater_spring,volwater_summer,volwater_fall
18202,2021,37.60334,-110.0365,11.5,1.53,1.53,,,,
18203,2021,37.60334,-110.0365,11.5,1.53,1.53,,,,
18204,2021,37.60334,-110.0365,,,,0.1311053,0.08509181,0.0414054,0.07977858
18205,2021,37.60334,-110.0365,10.71,12.11,,,,,
18206,2021,37.60334,-110.0365,,,,0.1273347,0.07664651,0.04973366,0.08254018
18207,2021,37.60334,-110.0365,10.4,6.95,6.42,,,,
18208,2021,37.60334,-110.0365,,,,0.1340754,0.08495457,0.0459462,0.08205442
18209,2021,37.60334,-110.0365,6.71,3.94,5.56,,,,
18210,2021,37.60334,-110.0365,,,,0.1181548,0.06924245,0.04577134,0.05727056
18211,2021,37.60334,-110.0365,13.14,4.57,8.56,,,,
18212,2021,37.60334,-110.0365,13.14,4.57,8.56,,,,
18213,2021,37.60334,-110.0365,13.14,4.57,8.56,,,,
18214,2021,37.60334,-110.0365,13.14,4.57,5.74,,,,
18215,2021,37.60334,-110.0365,13.14,4.57,5.74,,,,
18216,2021,37.60334,-110.0365,13.14,4.57,5.74,,,,
18217,2021,37.60334,-110.0365,13.14,4.57,13.14,,,,
18218,2021,37.60334,-110.0365,13.14,4.57,13.14,,,,
18219,2021,37.60334,-110.0365,13.14,4.57,13.14,,,,
18220,2021,37.60334,-110.0365,,,,0.1338313,0.0853998,0.04230907,0.08629681
18221,2021,37.60334,-110.0365,16.62,7.41,9.09,,,,
18222,2021,37.60334,-110.0365,16.62,7.41,9.09,,,,
18223,2021,37.60334,-110.0365,16.62,7.41,7.41,,,,
18224,2021,37.60334,-110.0365,16.62,7.41,7.41,,,,
18225,2021,37.60334,-110.0365,,,,0.1408148,0.07860463,0.04449878,0.06805635
18226,2021,37.60334,-110.0365,11.62,4.28,4.43,,,,
18227,2021,37.60334,-110.0365,11.62,4.28,4.43,,,,
18228,2021,37.60334,-110.0365,11.62,4.28,4.28,,,,
18229,2021,37.60334,-110.0365,11.62,4.28,4.28,,,,
18230,2021,37.60334,-110.0365,,,,0.1354403,0.06793696,0.04187264,0.05155834
18231,2021,37.60334,-110.0365,11.24,13.21,11.24,,,,
18232,2021,37.60334,-110.0365,,,,0.1336742,0.08672567,0.04875763,0.08530437
18233,2021,37.60334,-110.0365,3.47,12.3,3.47,,,,
18234,2021,37.60334,-110.0365,,,,0.1294753,0.06259475,0.05231005,0.1021512
18235,2021,37.60334,-110.0365,17.27,10.32,,,,,
18236,2021,37.60334,-110.0365,,,,0.1215986,0.09071595,0.05308265,0.07210882
18237,2021,37.60334,-110.0365,1.88,4.8,9.11,,,,
18238,2021,37.60334,-110.0365,,,,0.04530031,0.04248696,0.04206847,0.08991055
18239,2021,37.60334,-110.0365,10.58,3.16,,,,,
18240,2021,37.60334,-110.0365,,,,0.08480481,0.08435547,0.04171961,0.04400336
18241,2021,37.60334,-110.0365,8.1,13.61,6.96,,,,
18242,2021,37.60334,-110.0365,,,,0.1319518,0.08212023,0.05268618,0.08423501
18243,2021,37.60334,-110.0365,9.93,11.17,11.17,,,,
18244,2021,37.60334,-110.0365,9.93,11.17,11.17,,,,
18245,2021,37.60334,-110.0365,9.93,11.17,9.93,,,,
18246,2021,37.60334,-110.0365,9.93,11.17,9.93,,,,
18247,2021,37.60334,-110.0365,,,,0.1384642,0.08176505,0.05543312,0.06984389
18248,2021,37.60334,-110.0365,9.02,5.87,,,,,
18249,2021,37.60334,-110.0365,,,,0.09990902,0.07929908,0.04407625,0.05953402
18250,2021,37.60334,-110.0365,3.39,13.26,,,,,
18251,2021,37.60334,-110.0365,,,,0.07880099,0.04806825,0.05003803,0.05128203
18252,2021,37.60334,-110.0365,3.87,7.72,3.87,,,,
18253,2021,37.60334,-110.0365,3.87,7.72,3.87,,,,
18254,2021,37.60334,-110.0365,3.87,7.72,3.76,,,,
18255,2021,37.60334,-110.0365,3.87,7.72,3.76,,,,
18256,2021,37.60334,-110.0365,,,,0.08648813,0.05333695,0.04489742,0.1169191
18257,2021,37.60334,-110.0365,3.27,7.2,,,,,
18258,2021,37.60334,-110.0365,,,,0.04929147,0.0756504,0.04523982,0.09029344
18259,2021,37.60334,-110.0365,13.12,1.81,11.9,,,,
18260,2021,37.60334,-110.0365,13.12,1.81,11.9,,,,
18261,2021,37.60334,-110.0365,13.12,1.81,1.81,,,,
18262,2021,37.60334,-110.0365,13.12,1.81,1.81,,,,
18263,2021,37.60334,-110.0365,,,,0.1298335,0.08250589,0.04147992,0.09903667
18264,2022,37.60334,-110.0365,2.12,4.92,,,,,
18265,2022,37.60334,-110.0365,,,,0.08076582,0.07805595,0.04768812,0.05188762
18266,2022,37.60334,-110.0365,17.95,5.09,12.96,,,,
18267,2022,37.60334,-110.0365,17.95,5.09,12.96,,,,
18268,2022,37.60334,-110.0365,17.95,5.09,17.95,,,,
18269,2022,37.60334,-110.0365,17.95,5.09,17.95,,,,
18270,2022,37.60334,-110.0365,,,,0.1386599,0.07758832,0.0420812,0.1018142
18271,2022,37.60334,-110.0365,6.73,7.45,8.61,,,,
18272,2022,37.60334,-110.0365,6.73,7.45,8.61,,,,
18273,2022,37.60334,-110.0365,6.73,7.45,7.45,,,,
18274,2022,37.60334,-110.0365,6.73,7.45,7.45,,,,
18275,2022,37.60334,-110.0365,,,,0.1290996,0.06961252,0.04410776,0.0860836
18276,2022,37.60334,-110.0365,10.84,4.36,13.86,,,,
18277,2022,37.60334,-110.0365,,,,0.1190675,0.09105546,0.04159482,0.05275828
18278,2022,37.60334,-110.0365,4.32,8.78,4.32,,,,
18279,2022,37.60334,-110.0365,,,,0.04664323,0.06990383,0.04689585,0.05988792
18280,2022,37.60334,-110.0365,2.92,6.75,,,,,
18281,2022,37.60334,-110.0365,,,,0.07825246,0.0528551,0.04550749,0.05644157
18282,2022,37.60334,-110.0365,7.93,13.88,7.93,,,,
18283,2022,37.60334,-110.0365,,,,0.09865192,0.07424755,0.0533931,0.04401523
18284,2022,37.60334,-110.0365,5.68,3.56,5.68,,,,
18285,2022,37.60334,-110.0365,5.68,3.56,5.68,,,,
18286,2022,37.60334,-110.0365,5.68,3.56,2.01,,,,
18287,2022,37.60334,-110.0365,5.68,3.56,2.01,,,,
18288,2022,37.60334,-110.0365,,,,0.09891281,0.05742695,0.04145435,0.04473226
18289,2022,37.60334,-110.0365,4.85,9.98,5.87,,,,
18290,2022,37.60334,-110.0365,,,,0.05958712,0.07346971,0.04793572,0.07173774
18291,2022,37.60334,-110.0365,5.6,7.76,13.63,,,,
18292,2022,37.60334,-110.0365,,,,0.121527,0.06853473,0.04730548,0.09623664
18293,2022,37.60334,-110.0365,3.25,3.28,8.47,,,,
18294,2022,37.60334,-110.0365,,,,0.1095588,0.05690443,0.04133538,0.07837997
18295,2022,37.60334,-110.0365,8.49,5.32,,,,,
18296,2022,37.60334,-110.0365,,,,0.1260726,0.07755446,0.04594064,0.1087017
18297,2022,37.60334,-110.0365,3.07,12.36,14.71,,,,
18298,2022,37.60334,-110.0365,,,,0.1143973,0.0871737,0.04876412,0.106923
18299,2022,37.60334,-110.0365,4.49,2.1,2.1,,,,
18300,2022,37.60334,-110.0365,,,,0.09553559,0.07360057,0.04091347,0.07354918
18301,2022,37.60334,-110.0365,2.55,7.7,9.6,,,,
18302,2022,37.60334,-110.0365,2.55,7.7,9.6,,,,
18303,2022,37.60334,-110.0365,2.55,7.7,5.88,,,,
18304,2022,37.60334,-110.0365,2.55,7.7,5.88,,,,
18305,2022,37.60334,-110.0365,,,,0.07080714,0.05339488,0.04426713,0.07885626
18306,2022,37.60334,-110.0365,3.25,2.6,2.6,,,,
18307,2022,37.60334,-110.0365,,,,0.07745959,0.05424501,0.04121713,0.05401703
18308,2022,37.60334,-110.0365,6.91,11.51,11.51,,,,
18309,2022,37.60334,-110.0365,,,,0.1125414,0.07242833,0.05387883,0.08659511
18310,2022,37.60334,-110.0365,3.7,6.01,,,,,
18311,2022,37.60334,-110.0365,,,,0.07846901,0.0615086,0.04347873,0.04532022
18312,2022,37.60334,-110.0365,7.04,5.17,,,,,
18313,2022,37.60334,-110.0365,,,,0.1241188,0.08258347,0.04188325,0.08564944
18314,2022,37.60334,-110.0365,6.09,3.5,6.09,,,,
18315,2022,37.60334,-110.0365,,,,0.08598305,0.07501037,0.04171154,0.04498163
18316,2022,37.60334,-110.0365,11.29,4.65,7.6,,,,
18317,2022,37.60334,-110.0365,11.29,4.65,7.6,,,,
18318,2022,37.60334,-110.0365,11.29,4.65,11.29,,,,
18319,2022,37.60334,-110.0365,11.29,4.65,11.29,,,,
18320,2022,37.60334,-110.0365,,,,0.1342678,0.08363038,0.04215559,0.07307803
18321,2022,37.60334,-110.0365,8.07,11.02,6.88,,,,
18322,2022,37.60334,-110.0365,,,,0.1272352,0.09019881,0.04673751,0.09514029
18323,2022,37.60334,-110.0365,6.3,7.39,6.44,,,,
18324,2022,37.60334,-110.0365,6.3,7.39,6.44,,,,
18325,2022,37.60334,-110.0365,6.3,7.39,4.19,,,,
18326,2022,37.60334,-110.0365,6.3,7.39,4.19,,,,
18327,2022,37.60334,-110.0365,,,,0.1218353,0.06306745,0.04721329,0.05695752
18328,2022,37.60334,-110.0365,2.23,6.94,2.23,,,,
18329,2022,37.60334,-110.0365,,,,0.1072125,0.07729777,0.04310871,0.06272612
18330,2022,37.60334,-110.0365,4.79,2.0,2.0,,,,
18331,2022,37.60334,-110.0365,4.79,2.0,2.0,,,,
18332,2022,37.60334,-110.0365,4.79,2.0,4.79,,,,
18333,2022,37.60334,-110.0365,4.79,2.0,4.79,,,,
18334,2022,37.60334,-110.0365,,,,0.08629044,0.05504663,0.04033759,0.05496088
18335,2022,37.60334,-110.0365,15.26,5.57,5.57,,,,
18336,2022,37.60334,-110.0365,,,,0.1170237,0.06807185,0.04731792,0.05472786
18337,2022,37.60334,-110.0365,2.18,9.71,,,,,
18338,2022,37.60334,-110.0365,,,,0.12332,0.06037211,0.0469472,0.04690064
18339,2022,37.60334,-110.0365,4.97,2.82,,,,,
18340,2022,37.60334,-110.0365,,,,0.1147354,0.08710772,0.04068559,0.08981469
18341,2022,37.60334,-110.0365,7.5,12.78,8.85,,,,
18342,2022,37.60334,-110.0365,,,,0.1291282,0.08475365,0.04768834,0.0761878
18343,2022,37.60334,-110.0365,6.95,7.85,13.11,,,,
18344,2022,37.60334,-110.0365,6.95,7.85,13.11,,,,
18345,2022,37.60334,-110.0365,6.95,7.85,7.85,,,,
18346,2022,37.60334,-110.0365,6.95,7.85,7.85,,,,
18347,2022,37.60334,-110.0365,,,,0.09745609,0.08268185,0.04797751,0.09704609
18348,2022,37.60334,-110.0365,3.53,3.42,3.42,,,,
18349,2022,37.60334,-110.0365,3.53,3.42,3.42,,,,
18350,2022,37.60334,-110.0365,3.53,3.42,3.53,,,,
18351,2022,37.60334,-110.0365,3.53,3.42,3.53,,,,
18352,2022,37.60334,-110.0365,,,,0.1077755,0.07055985,0.04180789,0.04295004
18353,2022,37.60334,-110.0365,2.48,3.49,2.2,,,,
18354,2022,37.60334,-110.0365,,,,0.08776925,0.05008187,0.04126062,0.09138742
18355,2022,37.60334,-110.0365,10.74,8.66,7.17,,,,
18356,2022,37.60334,-110.0365,10.74,8.66,7.17,,,,
18357,2022,37.60334,-110.0365,10.74,8.66,8.66,,,,
18358,2022,37.60334,-110.0365,10.74,8.66,8.66,,,,
18359,2022,37.60334,-110.0365,,,,0.1175393,0.07289303,0.0528329,0.04686537
18360,2022,37.60334,-110.0365,6.58,8.91,8.91,,,,
18361,2022,37.60334,-110.0365,,,,0.128176,0.09389044,0.04841846,0.07186212
18362,2022,37.60334,-110.0365,5.01,3.79,,,,,
18363,2022,37.60334,-110.0365,,,,0.1024938,0.06243268,0.04323042,0.07294097
18364,2022,37.60334,-110.0365,1.84,3.76,,,,,
18365,2022,37.60334,-110.0365,,,,0.04680975,0.07134441,0.04211995,0.09842481
18366,2022,37.60334,-110.0365,5.07,4.68,5.07,,,,
18367,2022,37.60334,-110.0365,,,,0.1188841,0.07780531,0.04277456,0.05329657
18368,2022,37.60334,-110.0365,8.98,10.39,10.39,,,,
18369,2022,37.60334,-110.0365,,,,0.1267193,0.0766639,0.05042633,0.0724043
18370,2022,37.60334,-110.0365,7.57,8.22,,,,,
18371,2022,37.60334,-110.0365,,,,0.1344445,0.08520096,0.04519019,0.06433963
18372,2022,37.60334,-110.0365,6.61,3.51,6.61,,,,
18373,2022,37.60334,-110.0365,,,,0.1335084,0.06831432,0.04202128,0.07628057
18374,2023,37.60334,-110.0365,2.96,5.44,5.44,,,,
18375,2023,37.60334,-110.0365,2.96,5.44,5.44,,,,
18376,2023,37.60334,-110.0365,2.96,5.44,2.96,,,,
18377,2023,37.60334,-110.0365,2.96,5.44,2.96,,,,
18378,2023,37.60334,-110.0365,,,,0.06969944,0.05779427,0.0419639,0.09723665
18379,2023,37.60334,-110.0365,10.81,5.86,5.86,,,,
18380,2023,37.60334,-110.0365,,,,0.1306112,0.06995975,0.04184792,0.07055303
18381,2023,37.60334,-110.0365,3.54,2.54,,,,,
18382,2023,37.60334,-110.0365,,,,0.1169525,0.05854286,0.0414191,0.04469677
18383,2023,37.60334,-110.0365,13.12,15.2,13.12,,,,
18384,2023,37.60334,-110.0365,13.12,15.2,13.12,,,,
18385,2023,37.60334,-110.0365,13.12,15.2,3.42,,,,
18386,2023,37.60334,-110.0365,13.12,15.2,3.42,,,,
18387,2023,37.60334,-110.0365,,,,0.1162978,0.08202557,0.05624555,0.04993424
18388,2023,37.60334,-110.0365,8.46,0.56,3.89,,,,
18389,2023,37.60334,-110.0365,,,,0.08677736,0.07672872,0.04013882,0.05226106
18390,2023,37.60334,-110.0365,4.83,5.02,4.83,,,,
18391,2023,37.60334,-110.0365,,,,0.09494537,0.06738218,0.04195147,0.06955472
18392,2023,37.60334,-110.0365,2.69,3.85,3.85,,,,
18393,2023,37.60334,-110.0365,,,,0.06393995,0.04549939,0.04152478,0.09056
18394,2023,37.60334,-110.0365,4.96,7.76,,,,,
18395,2023,37.60334,-110.0365,,,,0.07416651,0.07753924,0.04343205,0.08485916
18396,2023,37.60334,-110.0365,11.25,4.99,2.82,,,,
18397,2023,37.60334,-110.0365,,,,0.1172177,0.08158173,0.04305966,0.1155725
18398,2023,37.60334,-110.0365,3.48,14.61,5.26,,,,
18399,2023,37.60334,-110.0365,,,,0.102842,0.05650625,0.06002241,0.06924689
18400,2023,37.60334,-110.0365,2.29,7.35,2.29,,,,
18401,2023,37.60334,-110.0365,2.29,7.35,2.29,,,,
18402,2023,37.60334,-110.0365,2.29,7.35,7.35,,,,
18403,2023,37.60334,-110.0365,2.29,7.35,7.35,,,,
18404,2023,37.60334,-110.0365,,,,0.06110741,0.06289104,0.04663139,0.103309
18405,2023,37.60334,-110.0365,6.19,10.28,6.77,,,,
18406,2023,37.60334,-110.0365,6.19,10.28,6.77,,,,
18407,2023,37.60334,-110.0365,6.19,10.28,6.77,,,,
18408,2023,37.60334,-110.0365,6.19,10.28,10.28,,,,
18409,2023,37.60334,-110.0365,6.19,10.28,10.28,,,,
18410,2023,37.60334,-110.0365,6.19,10.28,10.28,,,,
18411,2023,37.60334,-110.0365,6.19,10.28,10.67,,,,
18412,2023,37.60334,-110.0365,6.19,10.28,10.67,,,,
18413,2023,37.60334,-110.0365,6.19,10.28,10.67,,,,
18414,2023,37.60334,-110.0365,,,,0.1265508,0.07464275,0.04829952,0.08755956
18415,2023,37.60334,-110.0365,6.08,5.1,10.15,,,,
18416,2023,37.60334,-110.0365,6.08,5.1,10.15,,,,
18417,2023,37.60334,-110.0365,6.08,5.1,6.08,,,,
18418,2023,37.60334,-110.0365,6.08,5.1,6.08,,,,
18419,2023,37.60334,-110.0365,,,,0.09904284,0.08731891,0.04144819,0.0751034
18420,2023,37.60334,-110.0365,4.23,6.58,20.35,,,,
18421,2023,37.60334,-110.0365,,,,0.1130004,0.06390375,0.04380212,0.08175206
18422,2023,37.60334,-110.0365,10.88,8.82,,,,,
18423,2023,37.60334,-110.0365,,,,0.1343895,0.09024526,0.04821491,0.1042706
18424,2023,37.60334,-110.0365,6.22,1.81,,,,,
18425,2023,37.60334,-110.0365,,,,0.1135684,0.07265652,0.04144032,0.07637274
18426,2023,37.60334,-110.0365,9.45,9.58,,,,,
18427,2023,37.60334,-110.0365,,,,0.132414,0.06902235,0.0500041,0.08205144
18428,2023,37.60334,-110.0365,7.37,11.79,7.37,,,,
18429,2023,37.60334,-110.0365,7.37,11.79,7.37,,,,
18430,2023,37.60334,-110.0365,7.37,11.79,5.12,,,,
18431,2023,37.60334,-110.0365,7.37,11.79,5.12,,,,
18432,2023,37.60334,-110.0365,,,,0.1054349,0.06740984,0.05396376,0.06603464
18433,2023,37.60334,-110.0365,6.38,5.13,,,,,
18434,2023,37.60334,-110.0365,,,,0.1086688,0.07573269,0.04197459,0.05456525
18435,2023,37.60334,-110.0365,5.95,5.04,5.04,,,,
18436,2023,37.60334,-110.0365,5.95,5.04,5.04,,,,
18437,2023,37.60334,-110.0365,5.95,5.04,5.28,,,,
18438,2023,37.60334,-110.0365,5.95,5.04,5.28,,,,
18439,2023,37.60334,-110.0365,,,,0.08509772,0.09090699,0.04533918,0.05558758
18440,2023,37.60334,-110.0365,4.25,12.13,12.13,,,,
18441,2023,37.60334,-110.0365,,,,0.1054387,0.06677793,0.05603032,0.07817943
18442,2023,37.60334,-110.0365,6.29,11.08,,,,,
18443,2023,37.60334,-110.0365,,,,0.1329179,0.0676364,0.05372243,0.084253
18444,2023,37.60334,-110.0365,8.69,9.54,,,,,
18445,2023,37.60334,-110.0365,,,,0.1267208,0.09347217,0.05258491,0.09292515
18446,2023,37.60334,-110.0365,7.29,7.58,7.99,,,,
18447,2023,37.60334,-110.0365,7.29,7.58,7.99,,,,
18448,2023,37.60334,-110.0365,7.29,7.58,7.58,,,,
18449,2023,37.60334,-110.0365,7.29,7.58,7.58,,,,
18450,2023,37.60334,-110.0365,,,,0.114459,0.06882215,0.04337073,0.05837553
18451,2023,37.60334,-110.0365,4.92,4.97,5.03,,,,
18452,2023,37.60334,-110.0365,4.92,4.97,5.03,,,,
18453,2023,37.60334,-110.0365,4.92,4.97,4.97,,,,
18454,2023,37.60334,-110.0365,4.92,4.97,4.97,,,,
18455,2023,37.60334,-110.0365,,,,0.1123274,0.06285744,0.04336823,0.08284738
18456,2023,37.60334,-110.0365,14.05,9.8,,,,,
18457,2023,37.60334,-110.0365,,,,0.1083369,0.06615229,0.04635436,0.08894201
18458,2023,37.60334,-110.0365,4.0,15.01,8.28,,,,
18459,2023,37.60334,-110.0365,4.0,15.01,8.28,,,,
18460,2023,37.60334,-110.0365,4.0,15.01,4.0,,,,
18461,2023,37.60334,-110.0365,4.0,15.01,4.0,,,,
18462,2023,37.60334,-110.0365,,,,0.1138619,0.05645492,0.0553197,0.07896359
18463,2023,37.60334,-110.0365,8.09,10.83,3.49,,,,
18464,2023,37.60334,-110.0365,8.09,10.83,3.49,,,,
18465,2023,37.60334,-110.0365,8.09,10.83,8.09,,,,
18466,2023,37.60334,-110.0365,8.09,10.83,8.09,,,,
18467,2023,37.60334,-110.0365,,,,0.1395594,0.06843407,0.05843479,0.0982972
18468,2023,37.60334,-110.0365,12.15,15.36,,,,,
18469,2023,37.60334,-110.0365,,,,0.1310279,0.07810334,0.0592028,0.0968337
18470,2023,37.60334,-110.0365,7.71,4.49,12.01,,,,
18471,2023,37.60334,-110.0365,,,,0.1336641,0.08787747,0.0419384,0.1055043
18472,2023,37.60334,-110.0365,10.86,11.34,9.2,,,,
18473,2023,37.60334,-110.0365,10.86,11.34,9.2,,,,
18474,2023,37.60334,-110.0365,10.86,11.34,12.35,,,,
18475,2023,37.60334,-110.0365,10.86,11.34,12.35,,,,
18476,2023,37.60334,-110.0365,,,,0.1088598,0.1008373,0.04999127,0.07188401
18477,2023,37.60334,-110.0365,10.6,11.34,,,,,
18478,2023,37.60334,-110.0365,,,,0.1341622,0.0854715,0.04871888,0.04853476
18479,2023,37.60334,-110.0365,8.71,1.04,8.82,,,,
18480,2023,37.60334,-110.0365,,,,0.09784129,0.085169,0.0406368,0.06458169
18481,2023,37.60334,-110.0365,6.93,18.21,12.81,,,,
18482,2023,37.60334,-110.0365,,,,0.1015437,0.07255278,0.06161824,0.1005153
18483,2023,37.60334,-110.0365,4.09,10.47,,,,,
18484,2023,37.60334,-110.0365,,,,0.1019986,0.07603174,0.04944472,0.07955686
18485,2023,37.60334,-110.0365,15.49,6.02,6.02,,,,
18486,2023,37.60334,-110.0365,,,,0.1419243,0.06746456,0.04639541,0.08046086
18487,2023,37.60334,-110.0365,6.1,3.03,3.03,,,,
18488,2023,37.60334,-110.0365,,,,0.07222377,0.07949977,0.04142262,0.08945089
18489,2023,37.60334,-110.0365,7.44,13.63,8.52,,,,
18490,2023,37.60334,-110.0365,,,,0.09829115,0.07989416,0.05193214,0.0744452
18491,2023,37.60334,-110.0365,3.33,5.24,,,,,
18492,2023,37.60334,-110.0365,,,,0.1192899,0.06066677,0.04356112,0.05826515
18493,2023,37.60334,-110.0365,6.39,3.89,3.89,,,,
18494,2023,37.60334,-110.0365,,,,0.1210713,0.08821975,0.04203798,0.05990896
18495,2024,37.60334,-110.0365,7.3,8.83,7.83,,,,
18496,2024,37.60334,-110.0365,7.3,8.83,7.83,,,,
18497,2024,37.60334,-110.0365,7.3,8.83,10.7,,,,
18498,2024,37.60334,-110.0365,7.3,8.83,10.7,,,,
18499,2024,37.60334,-110.0365,,,,0.1355427,0.07896751,0.0515033,0.08649416
18500,2024,37.60334,-110.0365,4.69,6.85,6.85,,,,
18501,2024,37.60334,-110.0365,,,,0.1017832,0.07991732,0.04552023,0.09449383
18502,2024,37.60334,-110.0365,4.85,8.67,7.45,,,,
18503,2024,37.60334,-110.0365,4.85,8.67,7.45,,,,
18504,2024,37.60334,-110.0365,4.85,8.67,7.45,,,,
18505,2024,37.60334,-110.0365,4.85,8.67,4.85,,,,
18506,2024,37.60334,-110.0365,4.85,8.67,4.85,,,,
18507,2024,37.60334,-110.0365,4.85,8.67,4.85,,,,
18508,2024,37.60334,-110.0365,4.85,8.67,8.67,,,,
18509,2024,37.60334,-110.0365,4.85,8.67,8.67,,,,
18510,2024,37.60334,-110.0365,4.85,8.67,8.67,,,,
18511,2024,37.60334,-110.0365,,,,0.098899,0.06999511,0.04453031,0.07733278
18512,2024,37.60334,-110.0365,13.26,4.5,4.5,,,,
18513,2024,37.60334,-110.0365,,,,0.139383,0.0848858,0.04193983,0.04267182
18514,2024,37.60334,-110.0365,1.63,3.18,1.76,,,,
18515,2024,37.60334,-110.0365,,,,0.04847938,0.04645988,0.04138465,0.05135297
18516,2024,37.60334,-110.0365,12.72,2.37,,,,,
18517,2024,37.60334,-110.0365,,,,0.1395621,0.07993213,0.04158043,0.06949174
18518,2024,37.60334,-110.0365,12.61,6.79,7.07,,,,
18519,2024,37.60334,-110.0365,,,,0.1320499,0.06605335,0.04473386,0.06483802
18520,2024,37.60334,-110.0365,10.7,3.56,3.56,,,,
18521,2024,37.60334,-110.0365,,,,0.1278896,0.08938825,0.04184952,0.07636231
18522,2024,37.60334,-110.0365,16.5,14.26,,,,,
18523,2024,37.60334,-110.0365,,,,0.1333519,0.08266,0.05644138,0.0714157
18524,2024,37.60334,-110.0365,4.85,1.57,4.85,,,,
18525,2024,37.60334,-110.0365,,,,0.1312705,0.09630256,0.04019973,0.05103349
18526,2024,37.60334,-110.0365,9.56,7.27,5.62,,,,
18527,2024,37.60334,-110.0365,,,,0.1329737,0.06979378,0.04373201,0.07593091
18528,2024,37.60334,-110.0365,8.23,19.12,,,,,
18529,2024,37.60334,-110.0365,,,,0.09640194,0.0872832,0.06620657,0.09909283
18530,2024,37.60334,-110.0365,9.37,8.64,,,,,
18531,2024,37.60334,-110.0365,,,,0.1347731,0.07823915,0.05453564,0.09978457
18532,2024,37.60334,-110.0365,2.92,8.75,9.15,,,,
18533,2024,37.60334,-110.0365,,,,0.07817303,0.08392464,0.04995348,0.078643
18534,2024,37.60334,-110.0365,2.98,17.11,17.11,,,,
18535,2024,37.60334,-110.0365,2.98,17.11,17.11,,,,
18536,2024,37.60334,-110.0365,2.98,17.11,2.98,,,,
18537,2024,37.60334,-110.0365,2.98,17.11,2.98,,,,
18538,2024,37.60334,-110.0365,,,,0.1155732,0.07795852,0.06308356,0.08252874
18539,2024,37.60334,-110.0365,2.42,9.73,2.42,,,,
18540,2024,37.60334,-110.0365,,,,0.06124614,0.05391255,0.05132402,0.1030499
18541,2024,37.60334,-110.0365,7.28,6.01,9.34,,,,
18542,2024,37.60334,-110.0365,7.28,6.01,9.34,,,,
18543,2024,37.60334,-110.0365,7.28,6.01,7.28,,,,
18544,2024,37.60334,-110.0365,7.28,6.01,7.28,,,,
18545,2024,37.60334,-110.0365,,,,0.1273851,0.09022158,0.0428857,0.07162442
18546,2024,37.60334,-110.0365,4.55,3.88,3.88,,,,
18547,2024,37.60334,-110.0365,,,,0.06602225,0.05143284,0.04205509,0.05337511
18548,2024,37.60334,-110.0365,7.0,6.53,11.12,,,,
18549,2024,37.60334,-110.0365,,,,0.06088764,0.07749891,0.04874541,0.07629875
18550,2024,37.60334,-110.0365,3.73,4.24,,,,,
18551,2024,37.60334,-110.0365,,,,0.06813708,0.0501899,0.04172715,0.04949038
18552,2024,37.60334,-110.0365,9.87,9.57,,,,,
18553,2024,37.60334,-110.0365,,,,0.131231,0.09021662,0.0543876,0.04763256
18554,2024,37.60334,-110.0365,5.94,4.16,13.63,,,,
18555,2024,37.60334,-110.0365,,,,0.1263675,0.08517809,0.04165621,0.09683923
18556,2024,37.60334,-110.0365,5.96,8.45,8.45,,,,
18557,2024,37.60334,-110.0365,5.96,8.45,8.45,,,,
18558,2024,37.60334,-110.0365,5.96,8.45,5.96,,,,
18559,2024,37.60334,-110.0365,5.96,8.45,5.96,,,,
18560,2024,37.60334,-110.0365,,,,0.1278121,0.07727082,0.04801166,0.103301
18561,2024,37.60334,-110.0365,5.31,3.19,,,,,
18562,2024,37.60334,-110.0365,,,,0.1351127,0.06542197,0.04135304,0.07672364
18563,2024,37.60334,-110.0365,2.95,2.26,,,,,
18564,2024,37.60334,-110.0365,,,,0.08876164,0.05056239,0.04119745,0.07473649
18565,2024,37.60334,-110.0365,3.23,5.72,,,,,
18566,2024,37.60334,-110.0365,,,,0.09013356,0.07372161,0.04400754,0.07382932
18567,2024,37.60334,-110.0365,2.57,2.4,,,,,
18568,2024,37.60334,-110.0365,,,,0.05632062,0.04650396,0.04092451,0.04467683
18569,2024,37.60334,-110.0365,5.87,4.7,,,,,
18570,2024,37.60334,-110.0365,,,,0.1309765,0.07023143,0.04557805,0.06145195
18571,2024,37.60334,-110.0365,5.95,4.71,4.71,,,,
18572,2024,37.60334,-110.0365,,,,0.1251053,0.08617053,0.04208744,0.08927318
18573,2024,37.60334,-110.0365,13.39,8.28,,,,,
18574,2024,37.60334,-110.0365,,,,0.1381516,0.08353171,0.0438182,0.1086102
18575,2024,37.60334,-110.0365,8.54,6.46,,,,,
18576,2024,37.60334,-110.0365,,,,0.1361885,0.08893848,0.04489126,0.102413
18577,2024,37.60334,-110.0365,2.08,2.59,2.08,,,,
18578,2024,37.60334,-110.0365,2.08,2.59,2.08,,,,
18579,2024,37.60334,-110.0365,2.08,2.59,2.59,,,,
18580,2024,37.60334,-110.0365,2.08,2.59,2.59,,,,
18581,2024,37.60334,-110.0365,,,,0.05027823,0.06627994,0.04146073,0.08643785
18582,2024,37.60334,-110.0365,7.2,1.37,7.2,,,,
18583,2024,37.60334,-110.0365,,,,0.12824,0.08817703,0.04040979,0.06155734
